EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,DEPARTMENT,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DonaldOConnell@abc.com,650.507.9833,21-Jun-07,SH_CLERK,2600, - ,124,50
199,Douglas,Grant,DouglasGrant@abc.com,650.507.9844,13-Jan-08,SH_CLERK,2600, - ,124,50
200,Jennifer,Whalen,JenniferWhalen@abc.com,515.123.4444,17-Sep-03,AD_ASST,4400, - ,101,10
201,Michael,Hartstein,MichaelHartstein@abc.com,515.123.5555,17-Feb-04,MK_MAN,13000, - ,100,20
202,Pat,Fay,PatFay@abc.com,603.123.6666,17-Aug-05,MK_REP,6000, - ,201,20
203,Susan,Mavris,SusanMavris@abc.com,515.123.7777,7-Jun-02,HR_REP,6500, - ,101,40
204,Hermann,Baer,HermannBaer@abc.com,515.123.8888,7-Jun-02,PR_REP,10000, - ,101,70
205,Shelley,Higgins,ShelleyHiggins@abc.com,515.123.8080,7-Jun-02,AC_MGR,12008, - ,101,110
206,William,Gietz,WilliamGietz@abc.com,515.123.8181,7-Jun-02,AC_ACCOUNT,8300, - ,205,110
100,Steven,King,StevenKing@abc.com,515.123.4567,17-Jun-03,AD_PRES,24000, - , - ,90
101,Neena,Kochhar,NeenaKochhar@abc.com,515.123.4568,21-Sep-05,AD_VP,17000, - ,100,90
102,Lex,De Haan,LexDe Haan@abc.com,515.123.4569,13-Jan-01,AD_VP,17000, - ,100,90
103,Alexander,Hunold,AlexanderHunold@abc.com,590.423.4567,3-Jan-06,IT_PROG,9000, - ,102,60
104,Bruce,Ernst,BruceErnst@abc.com,590.423.4568,21-May-07,IT_PROG,6000, - ,103,60
105,David,Austin,DavidAustin@abc.com,590.423.4569,25-Jun-05,IT_PROG,4800, - ,103,60
106,Valli,Pataballa,ValliPataballa@abc.com,590.423.4560,5-Feb-06,IT_PROG,4800, - ,103,60
107,Diana,Lorentz,DianaLorentz@abc.com,590.423.5567,7-Feb-07,IT_PROG,4200, - ,103,60
108,Nancy,Greenberg,NancyGreenberg@abc.com,515.124.4569,17-Aug-02,FI_MGR,12008, - ,101,100
109,Daniel,Faviet,DanielFaviet@abc.com,515.124.4169,16-Aug-02,FI_ACCOUNT,9000, - ,108,100
110,John,Chen,JohnChen@abc.com,515.124.4269,28-Sep-05,FI_ACCOUNT,8200, - ,108,100
111,Ismael,Sciarra,IsmaelSciarra@abc.com,515.124.4369,30-Sep-05,FI_ACCOUNT,7700, - ,108,100
112,Jose Manuel,Urman,Jose ManuelUrman@abc.com,515.124.4469,7-Mar-06,FI_ACCOUNT,7800, - ,108,100
113,Luis,Popp,LuisPopp@abc.com,515.124.4567,7-Dec-07,FI_ACCOUNT,6900, - ,108,100
114,Den,Raphaely,DenRaphaely@abc.com,515.127.4561,7-Dec-02,PU_MAN,11000, - ,100,30
115,Alexander,Khoo,AlexanderKhoo@abc.com,515.127.4562,18-May-03,PU_CLERK,3100, - ,114,30
116,Shelli,Baida,ShelliBaida@abc.com,515.127.4563,24-Dec-05,PU_CLERK,2900, - ,114,30
117,Sigal,Tobias,SigalTobias@abc.com,515.127.4564,24-Jul-05,PU_CLERK,2800, - ,114,30
118,Guy,Himuro,GuyHimuro@abc.com,515.127.4565,15-Nov-06,PU_CLERK,2600, - ,114,30
119,Karen,Colmenares,KarenColmenares@abc.com,515.127.4566,10-Aug-07,PU_CLERK,2500, - ,114,30
120,Matthew,Weiss,MatthewWeiss@abc.com,650.123.1234,18-Jul-04,ST_MAN,8000, - ,100,50
121,Adam,Fripp,AdamFripp@abc.com,650.123.2234,10-Apr-05,ST_MAN,8200, - ,100,50
122,Payam,Kaufling,PayamKaufling@abc.com,650.123.3234,1-May-03,ST_MAN,7900, - ,100,50
123,Shanta,Vollman,ShantaVollman@abc.com,650.123.4234,10-Oct-05,ST_MAN,6500, - ,100,50
124,Kevin,Mourgos,KevinMourgos@abc.com,650.123.5234,16-Nov-07,ST_MAN,5800, - ,100,50
125,Julia,Nayer,JuliaNayer@abc.com,650.124.1214,16-Jul-05,ST_CLERK,3200, - ,120,50
