EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,DEPARTMENT,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
198,Donald,OConnell,DonaldOConnell@gmail.com,650.507.9833,21-Jun-07,SH_CLERK,2600, - ,124,50
199,Douglas,Grant,DouglasGrant@gmail.com,650.507.9844,13-Jan-08,SH_CLERK,2600, - ,124,50
200,Jennifer,Whalen,JenniferWhalen@gmail.com,515.123.4444,17-Sep-03,AD_ASST,4400, - ,101,10
201,Michael,Hartstein,MichaelHartstein@gmail.com,515.123.5555,17-Feb-04,MK_MAN,13000, - ,100,20
202,Pat,Fay,PatFay@gmail.com,603.123.6666,17-Aug-05,MK_REP,6000, - ,201,20
203,Susan,Mavris,SusanMavris@gmail.com,515.123.7777,7-Jun-02,HR_REP,6500, - ,101,40
204,Hermann,Baer,HermannBaer@gmail.com,515.123.8888,7-Jun-02,PR_REP,10000, - ,101,70
205,Shelley,Higgins,ShelleyHiggins@gmail.com,515.123.8080,7-Jun-02,AC_MGR,12008, - ,101,110
206,William,Gietz,WilliamGietz@gmail.com,515.123.8181,7-Jun-02,AC_ACCOUNT,8300, - ,205,110
100,Steven,King,StevenKing@gmail.com,515.123.4567,17-Jun-03,AD_PRES,24000, - , - ,90
101,Neena,Kochhar,NeenaKochhar@gmail.com,515.123.4568,21-Sep-05,AD_VP,17000, - ,100,90
102,Lex,De Haan,LexDe Haan@gmail.com,515.123.4569,13-Jan-01,AD_VP,17000, - ,100,90
103,Alexander,Hunold,AlexanderHunold@gmail.com,590.423.4567,3-Jan-06,IT_PROG,9000, - ,102,60
104,Bruce,Ernst,BruceErnst@gmail.com,590.423.4568,21-May-07,IT_PROG,6000, - ,103,60
105,David,Austin,DavidAustin@gmail.com,590.423.4569,25-Jun-05,IT_PROG,4800, - ,103,60
106,Valli,Pataballa,ValliPataballa@gmail.com,590.423.4560,5-Feb-06,IT_PROG,4800, - ,103,60
107,Diana,Lorentz,DianaLorentz@gmail.com,590.423.5567,7-Feb-07,IT_PROG,4200, - ,103,60
108,Nancy,Greenberg,NancyGreenberg@gmail.com,515.124.4569,17-Aug-02,FI_MGR,12008, - ,101,100
109,Daniel,Faviet,DanielFaviet@gmail.com,515.124.4169,16-Aug-02,FI_ACCOUNT,9000, - ,108,100
110,John,Chen,JohnChen@gmail.com,515.124.4269,28-Sep-05,FI_ACCOUNT,8200, - ,108,100
111,Ismael,Sciarra,IsmaelSciarra@gmail.com,515.124.4369,30-Sep-05,FI_ACCOUNT,7700, - ,108,100
112,Jose Manuel,Urman,Jose ManuelUrman@gmail.com,515.124.4469,7-Mar-06,FI_ACCOUNT,7800, - ,108,100
113,Luis,Popp,LuisPopp@gmail.com,515.124.4567,7-Dec-07,FI_ACCOUNT,6900, - ,108,100
114,Den,Raphaely,DenRaphaely@gmail.com,515.127.4561,7-Dec-02,PU_MAN,11000, - ,100,30
115,Alexander,Khoo,AlexanderKhoo@gmail.com,515.127.4562,18-May-03,PU_CLERK,3100, - ,114,30
116,Shelli,Baida,ShelliBaida@gmail.com,515.127.4563,24-Dec-05,PU_CLERK,2900, - ,114,30
117,Sigal,Tobias,SigalTobias@gmail.com,515.127.4564,24-Jul-05,PU_CLERK,2800, - ,114,30
118,Guy,Himuro,GuyHimuro@gmail.com,515.127.4565,15-Nov-06,PU_CLERK,2600, - ,114,30
119,Karen,Colmenares,KarenColmenares@gmail.com,515.127.4566,10-Aug-07,PU_CLERK,2500, - ,114,30
120,Matthew,Weiss,MatthewWeiss@gmail.com,650.123.1234,18-Jul-04,ST_MAN,8000, - ,100,50
121,Adam,Fripp,AdamFripp@gmail.com,650.123.2234,10-Apr-05,ST_MAN,8200, - ,100,50
122,Payam,Kaufling,PayamKaufling@gmail.com,650.123.3234,1-May-03,ST_MAN,7900, - ,100,50
123,Shanta,Vollman,ShantaVollman@gmail.com,650.123.4234,10-Oct-05,ST_MAN,6500, - ,100,50
124,Kevin,Mourgos,KevinMourgos@gmail.com,650.123.5234,16-Nov-07,ST_MAN,5800, - ,100,50
125,Julia,Nayer,JuliaNayer@gmail.com,650.124.1214,16-Jul-05,ST_CLERK,3200, - ,120,50
126,Irene,Mikkilineni,IreneMikkilineni@gmail.com,650.124.1224,28-Sep-06,ST_CLERK,2700, - ,120,50
127,James,Landry,JamesLandry@gmail.com,650.124.1334,14-Jan-07,ST_CLERK,2400, - ,120,50
128,Steven,Markle,StevenMarkle@gmail.com,650.124.1434,8-Mar-08,ST_CLERK,2200, - ,120,50
